RELEASE T 0
PRESS C 123
PRESS I 223
RELEASE C 252
PRESS CAPS_LOCK 295
RELEASE I 307
PRESS E 350
RELEASE CAPS_LOCK 388
RELEASE E 397
PRESS S 480
RELEASE S 559
PRESS RIGHT_BRACKET 687
RELEASE RIGHT_BRACKET 770
MOVE -1 -1 5074
MOVE -1 -1 5080
MOVE -1 -1 5088
MOVE -1 -1 5096
MOVE -1 -1 5105
MOVE -1 -1 5172
MOVE -1 -1 5376
SCROLL -120 5981
SCROLL -120 6815
SCROLL -120 6875
MOVE 1 -1 11143
MOVE 1 -1 12685
SCROLL -120 15834
SCROLL -120 15853
SCROLL -120 15862
SCROLL -120 15873
SCROLL -120 15881
SCROLL -120 15895
SCROLL -120 15919
MOVE 1 -1 15999
SCROLL -120 16158
SCROLL -120 16172
SCROLL -120 16183
SCROLL -120 16189
SCROLL -120 16197
SCROLL -120 16202
SCROLL -120 16210
SCROLL -120 16218
SCROLL -120 16236
SCROLL 120 16669
SCROLL 120 16683
SCROLL 120 16693
SCROLL 120 16707
SCROLL 120 16734
MOVE 1 -1 20655
MOVE 1 -1 20666
MOVE 1 -1 20669
MOVE 1 -1 20672
MOVE 1 -1 20674
MOVE 1 -1 20676
MOVE 1 -1 20680
MOVE 1 -1 20682
MOVE 1 -1 20684
MOVE 1 -1 20686
MOVE 1 -1 20688
MOVE 1 -1 20690
MOVE 1 -1 20691
MOVE 1 -1 20693
MOVE 1 -2 20695
MOVE 1 -1 20697
MOVE 1 -2 20698
MOVE 1 -2 20700
MOVE 1 -2 20702
MOVE 1 -2 20704
MOVE 1 -1 20706
MOVE 1 -2 20708
MOVE 1 -2 20711
MOVE 1 -2 20714
MOVE 1 -2 20718
MOVE 1 -2 20721
MOVE 1 -2 20724
MOVE 1 -3 20729
MOVE 1 -2 20736
MOVE 1 -3 20758
MOVE 1 -2 20768
MOVE 1 -2 20773
MOVE 1 -2 20779
MOVE 1 -2 20784
MOVE 1 -1 20790
MOVE 1 -1 20795
MOVE 1 -1 20810
PRESS LEFT_MOUSE 21589
RELEASE LEFT_MOUSE 21704
MOVE -1 1 23147
MOVE -1 1 23156
MOVE -1 1 23168
MOVE -1 1 23174
MOVE -1 1 23177
MOVE -1 1 23180
MOVE -1 1 23184
MOVE -1 1 23189
MOVE -1 1 23193
MOVE -1 1 23254
MOVE -1 1 23358
SCROLL -120 24825
SCROLL -120 24853
SCROLL -120 24878
SCROLL -120 24902
SCROLL -120 24954
SCROLL -120 25643
SCROLL -120 25665
SCROLL -120 25678
SCROLL -120 25695
SCROLL -120 25716
MOVE 1 -1 26474
SCROLL -120 27008
MOVE 1 -1 27134
MOVE 1 -1 27208
SCROLL -120 27506
SCROLL -120 27945
SCROLL -120 27962
SCROLL -120 27979
SCROLL -120 27991
SCROLL -120 28009
SCROLL -120 28038
SCROLL -120 28566
SCROLL -120 28582
SCROLL -120 28597
SCROLL -120 28607
SCROLL -120 28621
SCROLL -120 28647
MOVE 1 -1 29118
MOVE -1 -1 30070
MOVE -1 -1 30082
MOVE -1 -1 30085
MOVE -1 -1 30088
MOVE -1 -1 30092
MOVE -1 -1 30095
MOVE -1 -1 30098
MOVE -2 -1 30102
MOVE -1 -1 30106
MOVE -2 -1 30110
MOVE -1 -1 30114
MOVE -1 -1 30119
MOVE -1 -1 30123
MOVE -2 -1 30127
MOVE -2 -1 30131
MOVE -2 -1 30135
MOVE -1 -1 30138
MOVE -1 -1 30142
MOVE -1 -1 30147
MOVE -2 -1 30150
MOVE -1 -1 30156
MOVE -2 -1 30160
MOVE -1 -1 30165
MOVE -1 -1 30170
MOVE -1 -1 30174
MOVE -1 -1 30180
MOVE -1 -1 30187
MOVE -1 -1 30201
MOVE -1 -1 30427
MOVE -1 -1 30432
MOVE -1 -1 30438
MOVE -1 -1 30441
MOVE -1 -1 30444
MOVE -1 -1 30445
MOVE -1 -1 30448
MOVE -1 -1 30452
MOVE -1 -1 30454
MOVE -1 -1 30456
MOVE -1 -1 30458
MOVE -1 -1 30459
MOVE -1 -1 30461
MOVE -1 -1 30465
MOVE -1 -1 30467
MOVE -1 -1 30469
MOVE -1 -1 30470
MOVE -1 -1 30474
MOVE -1 -1 30476
MOVE -1 -1 30477
MOVE -1 -1 30479
MOVE -1 -1 30481
MOVE -1 -1 30483
MOVE -1 -1 30487
MOVE -1 -1 30489
MOVE -1 -1 30491
MOVE -1 -1 30493
MOVE -1 -1 30496
MOVE -1 -1 30498
MOVE -1 -1 30500
MOVE -1 -1 30502
MOVE -1 -1 30504
MOVE -1 -1 30506
MOVE -1 -1 30509
MOVE -1 -1 30511
MOVE -1 -1 30513
MOVE -1 -1 30515
MOVE -1 -1 30518
MOVE -1 -1 30520
MOVE -1 -1 30522
MOVE -1 -1 30524
MOVE -1 -1 30526
MOVE -1 -1 30528
MOVE -1 -1 30530
MOVE -1 -1 30531
MOVE -2 -1 30533
MOVE -1 -1 30535
MOVE -1 -1 30537
MOVE -1 -1 30538
MOVE -2 -1 30540
MOVE -1 -1 30542
MOVE -1 -1 30543
MOVE -2 -1 30545
MOVE -1 -1 30546
MOVE -1 -1 30548
MOVE -2 -1 30549
MOVE -1 -1 30551
MOVE -2 -1 30552
MOVE -1 -1 30554
MOVE -2 -1 30555
MOVE -1 -1 30557
MOVE -1 -1 30558
MOVE -1 -1 30560
MOVE -1 -1 30561
MOVE -1 -1 30562
MOVE -1 -1 30564
MOVE -1 -1 30565
MOVE -1 -1 30567
MOVE -1 -1 30568
MOVE -1 -1 30570
MOVE -2 -1 30571
MOVE -1 -1 30573
MOVE -1 -1 30574
MOVE -1 -1 30575
MOVE -1 -1 30577
MOVE -2 -1 30578
MOVE -1 -1 30579
MOVE -1 -1 30581
MOVE -1 -1 30582
MOVE -1 -1 30583
MOVE -1 -1 30584
MOVE -2 -1 30586
MOVE -1 -1 30587
MOVE -1 -1 30588
MOVE -1 -1 30589
MOVE -1 -1 30590
MOVE -1 -1 30591
MOVE -1 -1 30592
MOVE -1 -1 30594
MOVE -1 -1 30595
MOVE -1 -1 30596
MOVE -1 -1 30597
MOVE -1 -1 30598
MOVE -1 -1 30599
MOVE -1 -1 30600
MOVE -1 -1 30601
MOVE -1 -1 30602
MOVE -1 -1 30603
MOVE -1 -1 30604
MOVE -2 -1 30605
MOVE -1 -1 30606
MOVE -1 -1 30607
MOVE -1 -1 30608
MOVE -1 -1 30609
MOVE -1 -1 30610
MOVE -1 -1 30611
MOVE -1 -1 30612
MOVE -2 -1 30613
MOVE -1 -1 30614
MOVE -1 -1 30615
MOVE -1 -1 30616
MOVE -1 -1 30617
MOVE -1 -1 30618
MOVE -1 -1 30619
MOVE -2 -1 30620
MOVE -1 -1 30621
MOVE -1 -1 30622
MOVE -1 -1 30623
MOVE -1 -2 30624
MOVE -1 -1 30625
MOVE -2 -1 30626
MOVE -1 -1 30627
MOVE -1 -1 30628
MOVE -1 -1 30629
MOVE -2 -1 30630
MOVE -1 -2 30631
MOVE -1 -1 30632
MOVE -1 -1 30633
MOVE -1 -1 30634
MOVE -2 -1 30635
MOVE -1 -1 30636
MOVE -1 -2 30637
MOVE -1 -1 30638
MOVE -2 -1 30639
MOVE -1 -2 30640
MOVE -1 -1 30641
MOVE -1 -1 30642
MOVE -2 -1 30643
MOVE -1 -2 30644
MOVE -1 -1 30645
MOVE -1 -1 30646
