PRESS R 0
RELEASE R 78
MOUSE LEFT_UP 12555
MOVE -1 0 12570
MOVE -1 0 12576
MOVE -1 0 12583
MOVE -1 0 12588
MOVE -1 0 12593
MOVE -1 0 12601
MOVE -1 0 12610
MOVE 0 1 12616
MOVE -1 0 12622
MOVE -1 0 12669
RELEASE SPACEBAR 12679
MOVE -1 0 12692
MOVE -1 0 12727
MOVE 0 -1 12787
MOVE -1 0 12795
MOVE -1 0 12852
MOVE -1 0 12902
MOVE 0 -1 12919
MOVE -1 0 12924
MOVE -1 0 12945
MOVE 0 -1 12960
MOVE 1 0 13463
MOVE 1 -1 13473
MOVE 1 0 13482
MOVE 1 0 13539
MOVE 1 0 13559
MOVE 1 0 13571
MOVE 1 0 13654
MOVE 1 0 13671
MOVE 0 -1 13681
MOVE 1 0 13900
MOVE 1 0 13969
MOVE 1 0 14053
MOVE 1 0 14112
RELEASE W 14180
MOUSE LEFT_DOWN 14592
MOVE 1 0 14646
MOUSE LEFT_UP 14687
MOUSE LEFT_DOWN 14792
MOUSE LEFT_UP 14887
MOUSE LEFT_DOWN 14986
MOUSE LEFT_UP 15073
